Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
iku special class||I|||置いて行く|oiteiku|置いて行|oitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||||XXXく|XXXく|ku|||き|か|こう|け|いて|いた|き|く|いた|かない|かなかった|きます|きました|きません|きませんでした|いている|いていて|いてる|てて|いていない|いてない|いています|いていません|いていた|いていました|いていませんでした|*|(お)きになる|(お)きなさる|(お)きする|(お)きいたす|いて下さい|(お)き下さい|かないで下さい|(お)きなさいませ|(お)きなさいますな|け|け|くな|きなさい|きなさるな|きたい|きたかった|きたくない|きたくなかった|きたいです|きたいでした|きたくありません|きたくありませんでした|きたがる|けば|かなきゃ|かなければ|きませば|きませんなら|いたら|かなかったら|きましたら|きませんでしたら|きたければ|こう|くまい|いてよう|きましょう|きますまい|かなきゃ (いけない)|かなければいけない|かなければならない|いてはいけない|いてはならない|いてはだめだ|かなければいけません|かなければなりません|いてはいけません|いてはなりません|いてはだめです|くだろう|いただろう|かないだろう|かなかっただろう|くでしょう|いたでしょう|かないでしょう|かなかったでしょう|いたり(する)|かなかったり(する)|いていたり|いていなかったり|かせる|かす|かせない|かせます|かせません|かせられる|かされる|かせられない|かせられます|かせられません|かれる|かれた|かれない|かれます|かれません|かれて|ける|れる|けた|けない|けます|けません|き|いて|かないで|かなくて|きまして|きませんで|かずに|かなくちゃ (いけない)|かなくてはいけない|かなくてはいけません|くこと|かないこと|いたこと|いてこと|いていること|いていないこと|いていたこと|いてあげる|いてくれる|いてもらう|いていく|いておく|きっとく|いてしまう|いちゃう|いて仕舞った|いちゃった|いてみる|いてする|いてある|いてくる|いてほしい|いてもいい|いてもかまわない|かなくてもいい|くんだ|くんです|くのだ|くのです|きすぎる|きすぎだ|き合う|きだす|き始める|き治す|き遅れる|き終わる|き忘れる|きやがる|きかねる|きあげる|きに [verb]|きながら|かなさそう|き続く|き方|きにくい|きやすい|きさす|きやがれ|かぬ|かず|かざる|かざるをえない|
yuku special class||I|||移り行く|utsuriyuku|移り行|utsuriyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*|*|*|*|*|*|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||育ち行く|sodachiyuku|育ち行|sodachiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||冴え行く|saeyuku|冴え行|saeyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|walk down the road|I|||道行く|michiyuku|道行|michiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|to pass, to go past|I|||過ぎ行く|sugiyuku|過ぎ行|sugiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|to darken, to wane|I|||暮れゆく|kureyuku|暮れゆ|kureyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||落ちゆく|ochiyuku|落ちゆ|ochiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
