1.E49981|##|children's garments, a mat for wrapping garments|||
1.E499A5|##|shiny dresses|||
1.E49AA1|##|bones in a horn of cattle and goat|||
1.E49AAF|##|to quell (uprising_ rebellion_ etc.) to punish (another nation_ etc.) by force of arms, sound, voice, tone|||
1.E49C8C|##|chaos, distraction, confusion, confused, continuous, uninterruptedto tie together, to manage|||
1.E49DA4|##|a primitive tribe in southwest China, nocturnal hunting|||
1.E49FBD|##|scattered or dispersed|||
1.E4A096|##||||
1.E4A184|##||||
1.E4A18E|##|a windlass, a pulley, a capstan|||
1.E4A2B5|##|name of an old country in today's Hubei province, name of a place in today's Jiangsu province|||
1.E4A6B0|##|lots, to draw lots|||
1.E4A7A7|##|high mountains, steep, lofty|||
1.E4A7BA|##|the male of birds|||
1.E4A884|##|quail|||
1.E4A8A9|##|the spirit, the soul, divine, super-natural|||
1.E4AABC|##|the cheek-bone, the malar bone, the malar|||
1.E4ACBB|##|to entertain a departing friend, a parting present of food or money|||
1.E4AF82|##|numerous, very many, large group of horses traveling in a line|||
1.E4AF8A|##|the pelvis, bone stuck in the throat, the kneecap, patella, the five lowest pieces of bone of the spinal column|||
1.E4AF92|##|the upper part of the shinbone, or tibia|||
1.E4AFA8|##|to rap, to tap, to beat, big, great, large, tall, high|||
1.E4B097|##|a lot, a ticket, to draw lots|||
1.E4B0A0|##|god, spirit, immortal, mountain deity|||
1.E4B384|##|a kind of water bird, with black color, female, woman-like|||
1.E4B391|##|a pheasant-like bird|||
1.E4B487|##|a second name for crane, a small swan, a second name for wagtail|||
1.E4B5B7|##|frog, to make the noise of vomitting|||
1.E4B880|イチ;イツ#ひと-;ひと.つ#かず;い;いっ;いる;かつ;かづ;てん;はじめ;ひ;ひとつ;まこと|one, one radical (no.1)|un, radical un (no. 1)|uno, 1|
1.E4B881|チョウ;テイ;チン;トウ;チ#ひのと#|street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign|pâté de maison, tranche d'aliment, exactitude, soin extrême, quatrième, signe du 4è tronc céleste|barrio, distrito, hoja|
1.E4B882|コウ#さまた.げられる#|obstruction of breath (qi) as it seeks release, variant of other characters|||
1.E4B883|シチ#なな;なな.つ;なの#し;しっ;な;ひち|seven|sept|siete, 7|
1.E4B884|ジョウ;ショウ#うえ;うわ-;かみ;あ.げる;あ.がる;あ.がり;のぼ.る;のぼ.せる;のぼ.す;よ.す#|above|||
1.E4B885|カ;ゲ#した;しも;もと;さ.げる;さ.がる;くだ.る;くだ.す;くだ.さる;お.ろす;お.りる#|under, underneath, below, down, inferior, bring down|||
1.E4B887|マン;バン#よろず#かず;ま;ゆる|ten thousand, 10,000|myriade, 10000|diez mil, muchos|
1.E4B888|ジョウ#たけ;だけ#とも;ますら|length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely|longueur, 10 pieds (jo), mesure, M, Mme, taille, stature, tout (ce qu'on a), seulement, c'est tout|unidad de longitud (10 pies), altura, sólido, fuerte, longitud|
1.E4B889|サン;ゾウ#み;み.つ;みっ.つ#か;さ;さい;さえ;さぶ;ざ;ざえ;ざぶ;そう;ぞ;ただ;みつ;みん;も;や|three|trois|tres, 3|
1.E4B88A|ジョウ;ショウ;シャン#うえ;-うえ;うわ-;かみ;あ.げる;-あ.げる;あ.がる;-あ.がる;あ.がり;-あ.がり;のぼ.る;のぼ.り;のぼ.せる;のぼ.す;たてまつ.る#あおい;あげ;い;か;かき;かず;かん;こう;のぼり;ほつ|above, up|au-dessus, haut, monter, donner (je te donne)|arriba, encima, parte superior, cima, superficie|
1.E4B88B|カ;ゲ#した;しも;もと;さ.げる;さ.がる;くだ.る;くだ.り;くだ.す;-くだ.す;くだ.さる;お.ろす;お.りる#さか;しと|below, down, descend, give, low, inferior|au-dessous, descendre, bas, donner (vous me donnez), inférieur|debajo, inferior, debajo de, parte inferior|
1.E4B88C|キ;ゴ#そ.れ;そ.の;だい#|table|||
1.E4B88D|フ;ブ##|negative, non-, bad, ugly, clumsy|négation, non, mauvais, laid, maladroit|prefijo negativo: in-, des-|
1.E4B88E|ヨ#あた.える;あずか.る;くみ.する;ともに#とも;ゆ|bestow, participate in, give, award, impart, provide, cause, gift, godsend|donner, conférer, participer à, décerner, fournir, cause, don, don du ciel|otorgar, conceder, proveer, unir fuerzas|
1.E4B88F|ベン;メン#みえぬ#|parapet, invisible|||
1.E4B890|カイ#こ.う#|beggar, beg, give|||
1.E4B891|チュウ#うし#ひろ|sign of the ox or cow, 1-3AM, second sign of Chinese zodiac|signe de la 2ème branche terrestre, signe du Boeuf (zodiaque), 1 à 3 heures du matin|signo de la vaca, segundo signo del zodíaco, vaca|
1.E4B892|チュウ#うし#|the period from 1 to 3 am, 2nd character of the "branches"|||
1.E4B894|ショ;ソ;ショウ#か.つ#あき;かつ|moreover, also, furthermore|de plus, en outre, et aussi|además, también, al mismo tiempo|
1.E4B895|ヒ#おお.きい#|large, great, grand, glorious, distinguished|||
1.E4B896|セイ;セ;ソウ#よ#とし;ゆ;ゆき|generation, world, society, public|génération, monde, société, public|generación, mundo, edad|
1.E4B897|セイ;セ;ソウ#よ;さんじゅう#|thirty|||
1.E4B898|キュウ#おか#たかし|hill, knoll|colline, butte|colina|
1.E4B899|ヘイ#ひのえ#|third class, 3rd, 3rd calendar sign|troisième, signe du 3ème tronc céleste|tercera clase, tercer grado, tercero|
1.E4B89E|ジョウ;ショウ#すく.う;たす.ける#すけ|help|secours|ayudar, avanzar|
1.E4B89F|チュウ;チュ#さる;なげう.つ#|discard, reject, lose|||
1.E4B8A1|リョウ#てる;ふたつ#もろ|both, old Japanese coin, counter for carriages (e.g., in a train), two|les deux, 2, ryou (ancienne monnaie), compteur de wagons|ambos, contador de vehículos|
1.E4B8A3|ユウ#とり#|the tenth of the twelve Terrestrial Branches (ancient form)|||
1.E4B8A4|リョウ#て.る;ふたつ#|two, both, pair, couple, ounce|||
1.E4B8A6|ヘイ;ホウ#な.み;なみ;なら.べる;なら.ぶ;なら.びに#なび|row, and, besides, as well as, line up, rank with, rival, equal|rangée, et, en outre, de plus, faire la queue, mettre en rang, rival, égal|alinear, corriente, normal, ordinario, alinearse, estar alineado|
1.E4B8A8|コン;シ;ジョ;ニョ#すす.む;しりぞ.く#|number one, line, rod radical (no. 2)|||
1.E4B8A9|キュウ#まつわる#|to join or connect the vine|||
1.E4B8AA|カ;コ##|counter for articles, individual|||
1.E4B8AB|ア;ヤ#ふたまた;あげまき#|bifurcation, fork|||
1.E4B8AC|##|half of tree trunk, rad. no. 90|||
1.E4B8AD|チュウ#なか;うち;あた.る#あたる;かなえ|in, inside, middle, mean, center|dans, dedans, à l'intérieur, milieu, centre, moyenne|centro, dentro, interior, medio|
1.E4B8AE|ケキ;キャク#も.つ;と.る#|catch|||
1.E4B8AF|カイ#さんらん.する#|dense|||
1.E4B8B0|ホウ;フ;フウ#みめよ.い;しげ.る#|abundant, lush, bountiful, plenty, fat face, luxurious growth of grass|||
1.E4B8B1|カン;ケン##|saguaro-like kanji, horn-shaped locks of hair, young, tender|||
1.E4B8B2|カン;ケン;セン#くし;つらぬ.く#|spit, skewer|brochette, broche|broqueta, espetón|
1.E4B8B5|サク#くさのむらがり#|thick (grass)|||
1.E4B8B6|チュ##|dot, tick or dot radical (no. 3)|||
1.E4B8B8|ガン#まる;まる.める;まる.い#ま;わ;わに|round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away|rond, arrondir, entier (mois), pilule, perfection, suffixe des bateaux, se pelotonner, se rouler en boule, séduire, justifier|redondo, circular, círculo, redondear|
1.E4B8B9|タン#に#た;たみ;まこと|rust-colored, red, red lead, pills, sincerity|couleur de rouille, rouge, minium, pilules|rojo, sin adornos|
1.E4B8BB|シュ;ス;シュウ#ぬし;おも;あるじ#かず;ず;もん|lord, chief, master, main thing, principal|maître, seigneur, chef, principal, propriétaire, mari|señor, jefe, dueño, patrón|
1.E4B8BC|トン;タン;ショウ;セイ#どんぶり#|bowl, bowl of food||tazón, cuenco|
1.E4B8BF|ヘツ#えい;よう#の|katakana no radical (no. 4)|||
1.E4B980|フツ;ブチ#ま.がる#|stretch|||
1.E4B981|イ#なが.れる#||||
1.E4B982|ガイ;カイ;ゲ#おさ.める;か.る#|mow, cut grass, subdue|||
