1.2D2D2D|0|
1.E4A69D|169+7|
1.E4A69E|169+7|
1.E4A69F|169+7|
1.E4A6A0|169+8|
1.E4A6A1|169+8|
1.E4A6A2|169+8|
1.E4A6A3|169+8|
1.E4A6A4|169+8|
1.E4A6A5|169+8|
1.E4A6A6|169+8|
1.E4A6A7|169+8|
1.E4A6A8|169+8|
1.E4A6A9|169+9|
1.E4A6AA|169+9|
1.E4A6AB|169+9|
1.E4A6AC|169+9|
1.E4A6AD|169+9|
1.E4A6AE|169+9|
1.E4A6AF|169+9|
1.E4A6B0|169+11|
1.E4A6B1|169+12|
1.E4A6B2|169+13|
1.E4A6B3|169+13|
1.E4A6B4|169+13|
1.E4A6B5|169+14|
1.E4A6B6|169+6|
1.E4A6B7|169+7|
1.E4A6B8|169+9|
1.E4AA8F|178+4|
1.E4AA90|178+5|
1.E4AA91|178+5|
1.E4AA92|178+5|
1.E4AA93|178+5|
1.E4AA94|178+7|
1.E4AA95|178+8|
1.E4AA96|178+9|
1.E4AA97|178+9|
1.E4AA98|178+9|
1.E4AA99|178+10|
1.E4AA9A|178+10|
1.E4AA9B|178+12|
1.E4AA9C|178+13|
1.E4AA9D|178+14|
1.E4AAB1|181+3|
1.E4AAB2|181+3|
1.E4AAB3|181+4|
1.E4AAB4|181+4|
1.E4AAB5|181+4|
1.E4AAB6|181+5|
1.E4AAB7|181+5|
1.E4AAB8|181+5|
1.E4AAB9|181+5|
1.E4AABA|181+5|
1.E4AABB|181+5|
1.E4AABC|181+5|
1.E4AABD|181+5|
1.E4AABE|181+5|
1.E4AABF|181+6|
1.E4AB80|181+6|
1.E4AB81|181+6|
1.E4AB82|181+6|
1.E4AB83|181+7|
1.E4AB84|181+7|
1.E4AB85|181+7|
1.E4AB86|181+7|
1.E4AB87|181+7|
1.E4AB88|181+7|
1.E4AB89|181+7|
1.E4AB8A|181+7|
1.E4AB8B|181+8|
1.E4AB8C|181+8|
1.E4AB8D|181+8|
1.E4AB8E|181+8|
1.E4AB8F|181+8|
1.E4AB90|181+8|
1.E4AB91|181+8|
1.E4AB92|181+8|
1.E4AB93|181+8|
1.E4AB94|181+9|
1.E4AB95|181+9|
1.E4AB96|181+9|
1.E4AB97|181+9|
1.E4AB98|181+9|
1.E4AB99|181+9|
1.E4AB9A|181+9|
1.E4AB9B|181+9|
1.E4AB9C|181+9|
1.E4AB9D|181+9|
1.E4AB9E|181+10|
1.E4AB9F|181+10|
1.E4ABA0|181+10|
1.E4ABA1|181+10|
1.E4ABA2|181+10|
1.E4ABA3|181+10|
1.E4ABA4|181+10|
1.E4ABA5|181+10|
1.E4ABA6|181+10|
1.E4ABA7|181+10|
1.E4ABA8|181+11|
1.E4ABA9|181+11|
1.E4ABAA|181+11|
1.E4ABAB|181+11|
1.E4ABAC|181+12|
1.E4ABAD|181+12|
1.E4ABAE|181+12|
1.E4ABAF|181+12|
1.E4ABB0|181+12|
1.E4ABB1|181+12|
1.E4ABB2|181+13|
1.E4ABB3|181+13|
1.E4ABB4|181+13|
1.E4ABB5|181+15|
1.E4ABB6|181+15|
1.E4ABB7|181+16|
1.E4ABB8|182+2|
1.E4ABB9|182+3|
1.E4ABBA|182+4|
1.E4ABBB|182+4|
1.E4ABBC|182+4|
1.E4ABBD|182+4|
1.E4ABBE|182+5|
1.E4ABBF|182+5|
1.E4AC80|182+5|
1.E4AC81|182+5|
1.E4AC82|182+5|
1.E4AC83|182+5|
1.E4AC84|182+6|
1.E4AC85|182+6|
1.E4AC86|182+7|
1.E4AC87|182+7|
1.E4AC88|182+7|
1.E4AC89|182+7|
1.E4AC8A|182+7|
1.E4AC8B|182+8|
1.E4AC8C|182+8|
1.E4AC8D|182+8|
1.E4AC8E|182+8|
1.E4AC8F|182+8|
1.E4AC90|182+8|
1.E4AC91|182+9|
1.E4AC92|182+9|
1.E4AC93|182+9|
1.E4AC94|182+9|
1.E4AC95|182+9|
1.E4AC96|182+9|
1.E4AC97|182+9|
1.E4AC98|182+10|
1.E4AC99|182+10|
1.E4AC9A|182+10|
1.E4AC9B|182+11|
1.E4AC9C|182+11|
1.E4AC9D|182+12|
1.E4AC9E|182+14|
1.E4AC9F|182+15|
1.E4ACA2|184+2|
1.E4ACA3|184+3|
1.E4ACA4|184+3|
1.E4ACA5|184+3|
1.E4ACA6|184+4|
1.E4ACA7|184+4|
1.E4ACA8|184+4|
1.E4ACA9|184+4|
1.E4ACAA|184+4|
1.E4ACAB|184+5|
1.E4ACAC|184+5|
1.E4ACAD|184+5|
1.E4ACAE|184+5|
1.E4ACAF|184+5|
1.E4ACB0|184+5|
1.E4ACB1|184+5|
1.E4ACB2|184+5|
1.E4ACB3|184+5|
1.E4ACB4|184+5|
1.E4ACB5|184+6|
1.E4ACB6|184+6|
1.E4ACB7|184+6|
1.E4ACB8|184+6|
1.E4ACB9|184+6|
1.E4ACBA|184+6|
1.E4ACBB|184+6|
1.E4ACBC|184+7|
1.E4ACBD|184+7|
1.E4ACBE|184+7|
1.E4ACBF|184+7|
1.E4AD80|184+7|
1.E4AD81|184+7|
1.E4AD82|184+7|
1.E4AD83|184+8|
1.E4AD84|184+8|
1.E4AD85|184+8|
1.E4AD86|184+8|
1.E4AD87|184+8|
1.E4AD88|184+9|
1.E4AD89|184+9|
1.E4AD8A|184+9|
1.E4AD8B|184+9|
1.E4AD8C|184+9|
1.E4AD8D|184+9|
1.E4AD8E|184+9|
1.E4AD8F|184+9|
1.E4AD90|184+10|
1.E4AD91|184+10|
1.E4AD92|184+10|
1.E4AD93|184+10|
1.E4AD94|184+10|
1.E4AD95|184+11|
1.E4AD96|184+11|
1.E4AD97|184+11|
1.E4AD98|184+12|
1.E4AD99|184+12|
1.E4AD9A|184+12|
1.E4AD9B|184+12|
