1.2D2D2D|0|
1.E79A8F|106+6|
1.E79A90|106+6|
1.E79A91|106+6|
1.E79A92|106+7|
1.E79A93|106+7|
1.E79A94|106+7|
1.E79A95|106+7|
1.E79A96|106+7|
1.E79A97|106+7|
1.E79A98|106+7|
1.E79A99|106+8|
1.E79A9A|106+10|
1.E79A9B|106+10|
1.E79A9C|106+10|
1.E79A9D|106+10|
1.E79A9E|106+10|
1.E79A9F|106+11|
1.E79AA0|106+11|
1.E79AA1|106+11|
1.E79AA2|106+12|
1.E79AA3|106+12|
1.E79AA4|106+12|
1.E79AA5|106+12|
1.E79AA6|106+13|
1.E79AA7|106+13|
1.E79AA8|106+13|
1.E79AA9|106+14|
1.E79AAA|106+15|
1.E79AAB|106+15|
1.E79AAC|106+16|
1.E79AAD|106+18|
1.E79AAE|107|
1.E79AAF|107+3|
1.E79AB0|107+5|
1.E79AB1|107+5|
1.E79AB2|107+6|
1.E79AB3|107+7|
1.E79AB4|107+7|
1.E79AB5|107+8|
1.E79AB6|107+9|
1.E79AB7|107+9|
1.E79AB8|107+9|
1.E79AB9|107+9|
1.E79ABA|107+10|
1.E79ABB|107+11|
1.E79ABC|107+12|
1.E79ABD|107+13|
1.E79ABE|107+15|
1.E79ABF|108|
1.E79B80|108+2|
1.E79B81|108+2|
1.E79B82|108+3|
1.E79B83|108+4|
1.E79B84|108+4|
1.E79B85|108+4|
1.E79B86|108+4|
1.E79B87|108+4|
1.E79B88|108+4|
1.E79B89|108+5|
1.E79B8A|108+5|
1.E79B8B|108+5|
1.E79B8C|108+5|
1.E79B8D|108+5|
1.E79B8E|108+5|
1.E79B8F|108+5|
1.E79B90|108+5|
1.E79B91|108+5|
1.E79B92|108+6|
1.E79B93|108+6|
1.E79B94|108+6|
1.E79B95|108+6|
1.E79B96|108+6|
1.E79B97|108+6|
1.E79B98|108+6|
1.E79B99|108+6|
1.E79B9A|108+6|
1.E79B9B|108+6|
1.E79B9C|108+7|
1.E79B9D|108+8|
1.E79B9E|108+8|
1.E79B9F|108+8|
1.E79BA0|108+9|
1.E79BA1|108+9|
1.E79BA2|108+9|
1.E79BA3|108+9|
1.E79BA4|108+10|
1.E79BA5|108+11|
1.E79BA6|108+11|
1.E79BA7|108+11|
1.E79BA8|108+12|
1.E79BA9|108+12|
1.E79BAA|108+12|
1.E79BAB|108+13|
1.E79BAC|108+13|
1.E79BAD|108+15|
1.E79BAE|109|
1.E79BAF|109+2|
1.E79BB0|109+3|
1.E79BB1|109+3|
1.E79BB2|109+3|
1.E79BB3|109+3|
1.E79BB4|109+3|
1.E79BB5|109+3|
1.E79BB6|109+4|
1.E79BB7|109+4|
1.E79BB8|109+4|
1.E79BB9|109+4|
1.E79BBA|109+4|
1.E79BBB|109+4|
1.E79BBC|109+4|
1.E79BBD|109+4|
1.E79BBE|109+4|
1.E79BBF|109+4|
1.E79C80|109+4|
1.E79C81|109+4|
1.E79C82|109+4|
1.E79C83|109+4|
1.E79C84|109+4|
1.E79C85|109+4|
1.E79C86|109+4|
1.E79C87|109+4|
1.E79C88|109+4|
1.E79C89|109+4|
1.E79C8A|109+4|
1.E79C8B|109+4|
1.E79C8C|109+4|
1.E79C8D|109+4|
1.E79C8E|109+5|
1.E79C8F|109+5|
1.E79C90|109+5|
1.E79C91|109+5|
1.E79C92|109+5|
1.E79C93|109+5|
1.E79C94|109+5|
1.E79C95|109+5|
1.E79C96|109+5|
1.E79C97|109+5|
1.E79C98|109+5|
1.E79C99|109+5|
1.E79C9A|109+5|
1.E79C9B|109+5|
1.E79C9C|109+5|
1.E79C9D|109+5|
1.E79C9E|109+5|
1.E79C9F|109+5|
1.E79CA0|109+5|
1.E79CA1|109+5|
1.E79CA2|109+5|
1.E79CA3|109+5|
1.E79CA4|109+5|
1.E79CA5|109+5|
1.E79CA6|109+5|
1.E79CA7|109+5|
1.E79CA8|109+5|
1.E79CA9|109+5|
1.E79CAA|109+5|
1.E79CAB|109+5|
1.E79CAC|109+5|
1.E79CAD|109+6|
1.E79CAE|109+6|
1.E79CAF|109+6|
1.E79CB0|109+6|
1.E79CB1|109+6|
1.E79CB2|109+6|
1.E79CB3|109+6|
1.E79CB4|109+6|
1.E79CB5|109+6|
1.E79CB6|109+6|
1.E79CB7|109+6|
1.E79CB8|109+6|
1.E79CB9|109+6|
1.E79CBA|109+6|
1.E79CBB|109+6|
1.E79CBC|109+6|
1.E79CBD|109+6|
1.E79CBE|109+6|
1.E79CBF|109+5|
1.E79D80|109+7|
1.E79D81|109+7|
1.E79D82|109+7|
1.E79D83|109+7|
1.E79D84|109+7|
1.E79D85|109+7|
1.E79D86|109+7|
1.E79D87|109+7|
1.E79D88|109+7|
1.E79D89|109+7|
1.E79D8A|109+7|
1.E79D8B|109+7|
1.E79D8C|109+7|
1.E79D8D|109+7|
1.E79D8E|109+7|
1.E79D8F|109+7|
1.E79D90|109+7|
1.E79D91|109+7|
1.E79D92|109+8|
1.E79D93|109+8|
1.E79D94|109+8|
1.E79D95|109+8|
1.E79D96|109+8|
1.E79D97|109+8|
1.E79D98|109+8|
1.E79D99|109+8|
1.E79D9A|109+8|
1.E79D9B|109+8|
1.E79D9C|109+8|
1.E79D9D|109+8|
1.E79D9E|109+8|
1.E79D9F|109+8|
1.E79DA0|109+8|
1.E79DA1|109+8|
1.E79DA2|109+8|
1.E79DA3|109+8|
1.E79DA4|109+8|
1.E79DA5|109+8|
1.E79DA6|109+8|
1.E79DA7|109+8|
1.E79DA8|109+8|
1.E79DA9|109+8|
1.E79DAA|109+8|
1.E79DAB|109+8|
1.E79DAC|109+8|
1.E79DAD|109+8|
1.E79DAE|109+9|
1.E79DAF|109+9|
1.E79DB0|109+9|
1.E79DB1|109+9|
1.E79DB2|109+9|
1.E79DB3|109+9|
1.E79DB4|109+9|
1.E79DB5|109+9|
1.E79DB6|109+9|
1.E79DB7|109+19|
1.E79DB8|109+9|
1.E79DB9|109+9|
1.E79DBA|109+9|
1.E79DBB|109+9|
1.E79DBC|109+9|
1.E79DBD|109+9|
1.E79DBE|109+9|
1.E79DBF|109+9|
1.E79E80|109+9|
1.E79E81|109+9|
1.E79E82|109+9|
1.E79E83|109+9|
1.E79E84|109+9|
1.E79E85|109+9|
1.E79E86|109+9|
1.E79E87|109+10|
1.E79E88|109+10|
1.E79E89|109+10|
1.E79E8A|109+10|
1.E79E8B|109+10|
1.E79E8C|109+10|
1.E79E8D|109+10|
1.E79E8E|109+10|
1.E79E8F|109+10|
1.E79E90|109+10|
1.E79E91|109+10|
1.E79E92|109+10|
1.E79E93|109+10|
1.E79E94|109+11|
1.E79E95|109+11|
1.E79E96|109+11|
1.E79E97|109+11|
1.E79E98|109+11|
1.E79E99|109+11|
1.E79E9A|109+11|
1.E79E9B|109+11|
1.E79E9C|109+11|
1.E79E9D|109+11|
1.E79E9E|109+11|
1.E79E9F|109+11|
1.E79EA0|109+11|
1.E79EA1|109+11|
1.E79EA2|109+11|
1.E79EA3|109+11|
1.E79EA4|109+12|
1.E79EA5|109+12|
1.E79EA6|109+12|
1.E79EA7|109+12|
1.E79EA8|109+12|
1.E79EA9|109+12|
1.E79EAA|109+12|
1.E79EAB|109+12|
1.E79EAC|109+12|
1.E79EAD|109+12|
1.E79EAE|109+12|
1.E79EAF|109+12|
1.E79EB0|109+12|
1.E79EB1|109+12|
1.E79EB2|109+12|
1.E79EB3|109+12|
1.E79EB4|109+12|
1.E79EB5|109+12|
1.E79EB6|109+12|
1.E79EB7|109+12|
1.E79EB8|109+13|
1.E79EB9|109+13|
1.E79EBA|109+13|
1.E79EBB|109+13|
1.E79EBC|109+13|
1.E79EBD|109+13|
1.E79EBE|109+13|
1.E79EBF|109+13|
1.E79F80|109+13|
1.E79F81|109+13|
1.E79F82|109+13|
1.E79F83|109+14|
1.E79F84|109+14|
1.E79F85|109+14|
1.E79F86|109+14|
1.E79F87|109+14|
1.E79F88|109+14|
1.E79F89|109+14|
1.E79F8A|109+14|
1.E79F8B|109+15|
1.E79F8C|109+15|
1.E79F8D|109+15|
1.E79F8E|109+15|
1.E79F8F|109+15|
1.E79F90|109+16|
1.E79F91|109+16|
1.E79F92|109+16|
1.E79F93|109+16|
1.E79F94|109+18|
1.E79F95|109+19|
1.E79F96|109+21|
1.E79F97|109+19|
1.E79F98|109+20|
1.E79F99|109+20|
1.E79F9A|109+21|
1.E79F9B|110|
1.E79F9C|110+4|
1.E79F9D|110+5|
1.E79F9E|110+7|
1.E79F9F|110+7|
1.E79FA0|110+8|
1.E79FA1|110+20|
1.E79FA2|111|
1.E79FA3|111+2|
1.E79FA4|111+3|
1.E79FA5|111+3|
1.E79FA6|111+4|
1.E79FA7|111+4|
1.E79FA8|111+4|
1.E79FA9|111+5|
1.E79FAA|111+6|
1.E79FAB|111+6|
1.E79FAC|111+7|
1.E79FAD|111+7|
1.E79FAE|111+8|
1.E79FAF|111+12|
1.E79FB0|111+12|
1.E79FB1|111+14|
1.E79FB2|111+15|
1.E79FB3|112|
1.E79FB4|112+2|
1.E79FB5|112+2|
1.E79FB6|112+2|
1.E79FB7|112+3|
1.E79FB8|112+3|
1.E79FB9|112+3|
1.E79FBA|112+3|
1.E79FBB|112+3|
1.E79FBC|112+3|
1.E79FBD|112+3|
1.E79FBE|112+3|
1.E79FBF|112+3|
1.E7A080|112+3|
1.E7A081|112+3|
1.E7A082|112+4|
1.E7A083|112+4|
1.E7A084|112+4|
1.E7A085|112+4|
1.E7A086|112+4|
1.E7A087|112+4|
1.E7A088|112+4|
1.E7A089|112+4|
1.E7A08A|112+4|
1.E7A08B|112+4|
1.E7A08C|112+4|
1.E7A08D|112+4|
1.E7A08E|112+4|
1.E7A08F|112+4|
1.E7A090|112+4|
1.E7A091|112+4|
1.E7A092|112+4|
1.E7A093|112+4|
1.E7A094|112+4|
1.E7A095|112+4|
1.E7A096|112+4|
1.E7A097|112+4|
1.E7A098|112+4|
1.E7A099|112+4|
1.E7A09A|112+4|
1.E7A09B|112+4|
1.E7A09C|112+4|
1.E7A09D|112+5|
1.E7A09E|112+5|
1.E7A09F|112+5|
1.E7A0A0|112+5|
1.E7A0A1|112+5|
1.E7A0A2|112+5|
1.E7A0A3|112+5|
1.E7A0A4|112+5|
1.E7A0A5|112+5|
1.E7A0A6|112+5|
1.E7A0A7|112+5|
1.E7A0A8|112+5|
1.E7A0A9|112+5|
1.E7A0AA|112+5|
1.E7A0AB|112+5|
1.E7A0AC|112+5|
1.E7A0AD|112+5|
1.E7A0AE|112+5|
1.E7A0AF|112+5|
1.E7A0B0|112+5|
1.E7A0B1|112+5|
1.E7A0B2|112+5|
1.E7A0B3|112+5|
1.E7A0B4|112+5|
1.E7A0B5|112+5|
1.E7A0B6|112+5|
1.E7A0B7|112+5|
1.E7A0B8|112+5|
1.E7A0B9|112+5|
1.E7A0BA|112+5|
1.E7A0BB|112+5|
1.E7A0BC|112+5|
1.E7A0BD|112+5|
1.E7A0BE|112+5|
1.E7A0BF|112+5|
1.E7A180|112+5|
1.E7A181|112+5|
1.E7A182|112+6|
1.E7A183|112+6|
1.E7A184|112+6|
1.E7A185|112+6|
1.E7A186|112+6|
1.E7A187|112+6|
1.E7A188|112+6|
1.E7A189|112+6|
1.E7A18A|112+6|
1.E7A18B|112+6|
1.E7A18C|112+6|
1.E7A18D|112+6|
1.E7A18E|112+6|
1.E7A18F|112+6|
1.E7A190|112+6|
1.E7A191|112+6|
1.E7A192|112+6|
1.E7A193|112+6|
1.E7A194|112+6|
1.E7A195|112+6|
1.E7A196|112+6|
1.E7A197|112+6|
1.E7A198|112+6|
1.E7A199|112+6|
1.E7A19A|112+6|
1.E7A19B|112+6|
1.E7A19C|112+7|
1.E7A19D|112+7|
1.E7A19E|112+7|
1.E7A19F|112+7|
1.E7A1A0|112+7|
1.E7A1A1|112+7|
1.E7A1A2|112+7|
1.E7A1A3|112+7|
1.E7A1A4|112+7|
1.E7A1A5|112+7|
1.E7A1A6|112+7|
1.E7A1A7|112+7|
1.E7A1A8|112+7|
1.E7A1A9|112+7|
1.E7A1AA|112+7|
1.E7A1AB|112+7|
1.E7A1AC|112+7|
1.E7A1AD|112+7|
1.E7A1AE|112+7|
1.E7A1AF|112+7|
1.E7A1B0|112+7|
1.E7A1B1|112+7|
1.E7A1B2|112+7|
1.E7A1B3|112+7|
1.E7A1B4|112+8|
1.E7A1B5|112+8|
1.E7A1B6|112+8|
1.E7A1B7|112+8|
1.E7A1B8|112+8|
1.E7A1B9|112+8|
1.E7A1BA|112+8|
1.E7A1BB|112+8|
1.E7A1BC|112+8|
1.E7A1BD|112+8|
1.E7A1BE|112+8|
1.E7A1BF|112+8|
1.E7A280|112+8|
1.E7A281|112+8|
1.E7A282|112+8|
1.E7A283|112+8|
1.E7A284|112+8|
1.E7A285|112+8|
1.E7A286|112+8|
1.E7A287|112+8|
1.E7A288|112+8|
1.E7A289|112+8|
1.E7A28A|112+8|
1.E7A28B|112+8|
1.E7A28C|112+8|
1.E7A28D|112+8|
1.E7A28E|112+8|
1.E7A28F|112+8|
1.E7A290|112+8|
1.E7A291|112+9|
1.E7A292|112+8|
1.E7A293|112+8|
1.E7A294|112+8|
1.E7A295|112+8|
1.E7A296|112+8|
1.E7A297|112+8|
1.E7A298|112+8|
1.E7A299|112+8|
1.E7A29A|112+8|
1.E7A29B|112+8|
1.E7A29C|112+8|
1.E7A29D|112+9|
1.E7A29E|112+9|
1.E7A29F|112+9|
1.E7A2A0|112+9|
1.E7A2A1|112+9|
1.E7A2A2|112+9|
1.E7A2A3|112+9|
1.E7A2A4|112+9|
1.E7A2A5|112+9|
1.E7A2A6|112+9|
1.E7A2A7|112+9|
1.E7A2A8|112+9|
1.E7A2A9|112+9|
1.E7A2AA|112+9|
1.E7A2AB|112+9|
1.E7A2AC|112+9|
1.E7A2AD|112+9|
1.E7A2AE|112+9|
1.E7A2AF|112+9|
1.E7A2B0|112+9|
1.E7A2B1|112+9|
1.E7A2B2|112+9|
1.E7A2B3|112+9|
1.E7A2B4|112+9|
1.E7A2B5|112+9|
1.E7A2B6|112+9|
1.E7A2B7|112+9|
1.E7A2B8|112+9|
1.E7A2B9|112+9|
1.E7A2BA|112+10|
1.E7A2BB|112+10|
1.E7A2BC|112+10|
1.E7A2BD|112+10|
1.E7A2BE|112+10|
1.E7A2BF|112+10|
1.E7A380|112+10|
1.E7A381|112+9|
1.E7A382|112+10|
1.E7A383|112+10|
1.E7A384|112+10|
1.E7A385|112+10|
1.E7A386|112+10|
1.E7A387|112+10|
1.E7A388|112+10|
1.E7A389|112+10|
1.E7A38A|112+10|
1.E7A38B|112+10|
1.E7A38C|112+10|
1.E7A38D|112+10|
1.E7A38E|112+10|
1.E7A38F|112+10|
1.E7A390|112+10|
1.E7A391|112+10|
1.E7A392|112+10|
1.E7A393|112+10|
1.E7A394|112+10|
1.E7A395|112+10|
1.E7A396|112+10|
1.E7A397|112+10|
1.E7A398|112+10|
1.E7A399|112+10|
1.E7A39A|112+11|
1.E7A39B|112+11|
1.E7A39C|112+11|
1.E7A39D|112+11|
1.E7A39E|112+11|
1.E7A39F|112+11|
1.E7A3A0|112+11|
1.E7A3A1|112+11|
1.E7A3A2|112+11|
1.E7A3A3|112+11|
1.E7A3A4|112+11|
1.E7A3A5|112+11|
1.E7A3A6|112+11|
1.E7A3A7|112+11|
1.E7A3A8|112+11|
1.E7A3A9|112+11|
1.E7A3AA|112+11|
1.E7A3AB|112+11|
1.E7A3AC|112+11|
1.E7A3AD|112+11|
1.E7A3AE|112+11|
1.E7A3AF|112+12|
1.E7A3B0|112+12|
1.E7A3B1|112+12|
1.E7A3B2|112+12|
1.E7A3B3|112+12|
1.E7A3B4|112+12|
1.E7A3B5|112+12|
1.E7A3B6|112+12|
1.E7A3B7|112+12|
1.E7A3B8|112+12|
1.E7A3B9|112+12|
1.E7A3BA|112+12|
1.E7A3BB|112+12|
1.E7A3BC|112+12|
1.E7A3BD|112+12|
1.E7A3BE|112+12|
1.E7A3BF|112+12|
1.E7A480|112+12|
1.E7A481|112+12|
1.E7A482|112+12|
1.E7A483|112+12|
1.E7A484|112+12|
1.E7A485|112+12|
1.E7A486|112+13|
1.E7A487|112+13|
1.E7A488|112+13|
1.E7A489|112+13|
1.E7A48A|112+13|
1.E7A48B|112+13|
1.E7A48C|112+13|
1.E7A48D|112+13|
1.E7A48E|112+13|
1.E7A48F|112+13|
1.E7A490|112+13|
1.E7A491|112+13|
1.E7A492|112+13|
1.E7A493|112+13|
1.E7A494|112+13|
1.E7A495|112+13|
1.E7A496|112+13|
1.E7A497|112+14|
1.E7A498|112+14|
1.E7A499|112+14|
1.E7A49A|112+14|
1.E7A49B|112+14|
1.E7A49C|112+14|
1.E7A49D|112+14|
1.E7A49E|112+14|
1.E7A49F|112+14|
1.E7A4A0|112+14|
1.E7A4A1|112+14|
1.E7A4A2|112+15|
1.E7A4A3|112+15|
1.E7A4A4|112+15|
1.E7A4A5|112+15|
1.E7A4A6|112+15|
1.E7A4A7|112+15|
1.E7A4A8|112+15|
1.E7A4A9|112+15|
1.E7A4AA|112+15|
1.E7A4AB|112+15|
1.E7A4AC|112+15|
1.E7A4AD|112+16|
1.E7A4AE|112+16|
1.E7A4AF|112+16|
1.E7A4B0|112+16|
1.E7A4B1|112+16|
1.E7A4B2|112+16|
1.E7A4B3|112+16|
1.E7A4B4|112+16|
1.E7A4B5|112+17|
1.E7A4B6|112+18|
1.E7A4B7|112+18|
1.E7A4B8|112+19|
1.E7A4B9|112+20|
1.E7A4BA|113|
1.E7A4BB|113+0|
1.E7A4BC|113+1|
1.E7A4BD|113+2|
1.E7A4BE|113+3|
1.E7A4BF|113+3|
1.E7A580|113+3|
1.E7A581|113+3|
1.E7A582|113+3|
1.E7A583|113+3|
1.E7A584|113+4|
1.E7A585|113+4|
1.E7A586|113+4|
1.E7A587|113+4|
1.E7A588|113+4|
1.E7A589|113+4|
1.E7A58A|113+4|
1.E7A58B|113+4|
1.E7A58C|113+4|
1.E7A58D|113+4|
1.E7A58E|113+4|
1.E7A58F|113+5|
1.E7A590|113+5|
1.E7A591|113+5|
1.E7A592|113+5|
1.E7A593|113+5|
1.E7A594|113+5|
1.E7A595|113+5|
1.E7A596|113+5|
1.E7A597|113+5|
1.E7A598|113+5|
1.E7A599|113+5|
1.E7A59A|113+5|
1.E7A59B|113+5|
1.E7A59C|113+5|
1.E7A59D|113+5|
1.E7A59E|113+5|
1.E7A59F|113+5|
1.E7A5A0|113+5|
1.E7A5A1|113+5|
1.E7A5A2|113+5|
1.E7A5A3|113+6|
1.E7A5A4|113+6|
1.E7A5A5|113+6|
1.E7A5A6|113+6|
1.E7A5A7|113+6|
1.E7A5A8|113+6|
1.E7A5A9|113+6|
1.E7A5AA|113+6|
1.E7A5AB|113+6|
1.E7A5AC|113+6|
1.E7A5AD|113+6|
1.E7A5AE|113+6|
1.E7A5AF|113+6|
1.E7A5B0|113+7|
1.E7A5B1|113+7|
1.E7A5B2|113+7|
1.E7A5B3|113+7|
1.E7A5B4|113+7|
1.E7A5B5|113+7|
1.E7A5B6|113+7|
1.E7A5B7|113+7|
1.E7A5B8|113+7|
1.E7A5B9|113+8|
1.E7A5BA|113+8|
1.E7A5BB|113+8|
1.E7A5BC|113+8|
1.E7A5BD|113+8|
1.E7A5BE|113+8|
1.E7A5BF|113+8|
1.E7A680|113+8|
1.E7A681|113+8|
1.E7A682|113+8|
1.E7A683|113+8|
1.E7A684|113+8|
1.E7A685|113+9|
1.E7A686|113+9|
1.E7A687|113+9|
1.E7A688|113+9|
1.E7A689|113+9|
1.E7A68A|113+9|
1.E7A68B|113+9|
1.E7A68C|113+9|
1.E7A68D|113+9|
1.E7A68E|113+9|
1.E7A68F|113+9|
1.E7A690|113+9|
1.E7A691|113+9|
1.E7A692|113+9|
1.E7A693|113+9|
1.E7A694|113+9|
1.E7A695|113+9|
1.E7A696|113+9|
1.E7A697|113+9|
1.E7A698|113+9|
1.E7A699|113+9|
1.E7A69A|113+10|
1.E7A69B|113+10|
1.E7A69C|113+10|
1.E7A69D|113+10|
1.E7A69E|113+10|
1.E7A69F|113+10|
1.E7A6A0|113+10|
1.E7A6A1|113+10|
1.E7A6A2|113+10|
1.E7A6A3|113+10|
1.E7A6A4|113+11|
1.E7A6A5|113+11|
1.E7A6A6|113+11|
1.E7A6A7|113+12|
1.E7A6A8|113+12|
1.E7A6A9|113+12|
1.E7A6AA|113+12|
1.E7A6AB|113+12|
1.E7A6AC|113+13|
1.E7A6AD|113+13|
1.E7A6AE|113+13|
1.E7A6AF|113+13|
1.E7A6B0|113+14|
1.E7A6B1|113+14|
1.E7A6B2|113+15|
1.E7A6B3|113+17|
1.E7A6B4|113+17|
1.E7A6B5|113+18|
1.E7A6B6|113+19|
1.E7A6B7|113+19|
1.E7A6B8|114|
1.E7A6B9|114+4|
1.E7A6BA|114+4|
1.E7A6BB|114+6|
1.E7A6BC|114+7|
1.E7A6BD|114+8|
1.E7A6BE|115|
1.E7A6BF|115+2|
1.E7A780|115+2|
1.E7A781|28+5|
1.E7A781|115+2|
1.E7A782|115+2|
1.E7A783|115+2|
1.E7A784|115+3|
1.E7A785|115+3|
1.E7A786|115+3|
1.E7A787|115+3|
1.E7A788|115+3|
1.E7A789|115+3|
1.E7A78A|115+3|
1.E7A78B|115+4|
1.E7A78C|115+4|
1.E7A78D|115+4|
1.E7A78E|115+4|
1.E7A78F|115+4|
1.E7A790|115+4|
1.E7A791|115+4|
1.E7A792|115+4|
1.E7A793|115+4|
1.E7A794|115+4|
1.E7A795|115+4|
1.E7A796|115+4|
1.E7A797|115+4|
1.E7A798|115+5|
1.E7A799|115+5|
1.E7A79A|115+5|
1.E7A79B|115+5|
1.E7A79C|115+5|
1.E7A79D|115+5|
1.E7A79E|115+5|
1.E7A79F|115+5|
1.E7A7A0|115+5|
1.E7A7A1|115+5|
1.E7A7A2|115+5|
1.E7A7A3|115+5|
1.E7A7A4|115+5|
1.E7A7A5|115+5|
1.E7A7A6|115+5|
1.E7A7A7|115+5|
1.E7A7A8|115+5|
1.E7A7A9|115+5|
1.E7A7AA|115+5|
1.E7A7AB|115+5|
1.E7A7AC|115+5|
1.E7A7AD|115+5|
1.E7A7AE|115+5|
1.E7A7AF|115+5|
1.E7A7B0|115+5|
1.E7A7B1|115+6|
1.E7A7B2|115+6|
1.E7A7B3|115+6|
1.E7A7B4|115+6|
1.E7A7B5|115+6|
1.E7A7B6|115+6|
1.E7A7B7|115+6|
1.E7A7B8|115+6|
1.E7A7B9|115+6|
1.E7A7BA|115+6|
1.E7A7BB|115+6|
1.E7A7BC|115+6|
1.E7A7BD|115+6|
1.E7A7BE|115+6|
1.E7A7BF|115+7|
1.E7A880|115+7|
1.E7A881|115+7|
1.E7A882|115+7|
1.E7A883|115+7|
1.E7A884|115+7|
1.E7A885|115+7|
1.E7A886|115+7|
1.E7A887|115+7|
1.E7A888|115+7|
1.E7A889|115+7|
1.E7A88A|115+7|
1.E7A88B|115+7|
1.E7A88C|115+7|
1.E7A88D|115+7|
1.E7A88E|115+7|
1.E7A88F|115+8|
1.E7A890|115+8|
1.E7A891|115+8|
1.E7A892|115+8|
1.E7A893|115+8|
1.E7A894|115+8|
1.E7A895|115+8|
1.E7A896|115+8|
1.E7A897|115+8|
1.E7A898|115+8|
1.E7A899|115+8|
1.E7A89A|115+8|
1.E7A89B|115+8|
1.E7A89C|115+8|
1.E7A89D|115+8|
1.E7A89E|115+8|
1.E7A89F|115+8|
1.E7A8A0|115+8|
1.E7A8A1|115+8|
1.E7A8A2|115+8|
1.E7A8A3|115+8|
1.E7A8A4|115+8|
1.E7A8A5|115+8|
1.E7A8A6|115+9|
1.E7A8A7|115+9|
1.E7A8A8|115+9|
1.E7A8A9|115+9|
1.E7A8AA|115+9|
1.E7A8AB|115+9|
1.E7A8AC|115+9|
1.E7A8AD|115+9|
1.E7A8AE|115+9|
1.E7A8AF|115+9|
1.E7A8B0|115+9|
1.E7A8B1|115+9|
1.E7A8B2|115+9|
1.E7A8B3|115+9|
1.E7A8B4|115+10|
1.E7A8B5|115+10|
1.E7A8B6|115+10|
1.E7A8B7|115+10|
1.E7A8B8|115+10|
1.E7A8B9|115+10|
1.E7A8BA|115+10|
1.E7A8BB|115+10|
1.E7A8BC|115+10|
1.E7A8BD|115+10|
1.E7A8BE|115+10|
1.E7A8BF|115+10|
1.E7A980|115+9|
1.E7A981|115+10|
1.E7A982|115+10|
1.E7A983|115+10|
1.E7A984|115+11|
1.E7A985|115+11|
1.E7A986|115+11|
1.E7A987|115+11|
1.E7A988|115+11|
1.E7A989|115+12|
1.E7A98A|115+11|
1.E7A98B|115+11|
1.E7A98C|115+11|
1.E7A98D|115+11|
1.E7A98E|115+11|
1.E7A98F|115+11|
1.E7A990|115+11|
1.E7A991|115+11|
1.E7A992|115+11|
1.E7A993|115+12|
1.E7A994|115+12|
1.E7A995|115+12|
1.E7A996|115+12|
1.E7A997|115+12|
1.E7A998|115+12|
1.E7A999|115+12|
1.E7A99A|115+12|
1.E7A99B|115+12|
1.E7A99C|115+12|
1.E7A99D|115+12|
1.E7A99E|115+12|
1.E7A99F|115+13|
1.E7A9A0|115+13|
1.E7A9A1|115+13|
1.E7A9A2|115+13|
1.E7A9A3|115+13|
1.E7A9A4|115+14|
1.E7A9A5|115+14|
1.E7A9A6|115+14|
1.E7A9A7|115+14|
1.E7A9A8|115+14|
1.E7A9A9|115+14|
1.E7A9AA|115+14|
1.E7A9AB|115+14|
1.E7A9AC|115+15|
1.E7A9AD|115+15|
1.E7A9AE|115+15|
1.E7A9AF|115+15|
1.E7A9B0|115+17|
1.E7A9B1|115+18|
1.E7A9B2|115+19|
1.E7A9B3|115+17|
1.E7A9B4|116|
1.E7A9B5|116+1|
1.E7A9B6|116+2|
1.E7A9B7|116+2|
1.E7A9B8|116+3|
1.E7A9B9|116+3|
1.E7A9BA|116+3|
1.E7A9BB|116+3|
1.E7A9BC|116+4|
1.E7A9BD|116+4|
1.E7A9BE|116+4|
1.E7A9BF|116+4|
1.E7AA80|116+4|
1.E7AA81|116+3|
1.E7AA82|116+4|
1.E7AA83|116+4|
1.E7AA84|116+5|
1.E7AA85|116+5|
1.E7AA86|116+5|
1.E7AA87|116+5|
1.E7AA88|116+5|
1.E7AA89|116+5|
1.E7AA8A|116+5|
1.E7AA8B|116+5|
1.E7AA8C|116+5|
1.E7AA8D|116+5|
1.E7AA8E|116+5|
1.E7AA8F|116+6|
1.E7AA90|116+6|
1.E7AA91|116+6|
1.E7AA92|116+6|
1.E7AA93|116+6|
1.E7AA94|116+6|
1.E7AA95|116+6|
1.E7AA96|116+7|
1.E7AA97|116+7|
1.E7AA98|116+7|
1.E7AA99|116+7|
1.E7AA9A|116+7|
1.E7AA9B|116+7|
1.E7AA9C|116+7|
1.E7AA9D|116+7|
1.E7AA9E|116+8|
1.E7AA9F|116+8|
1.E7AAA0|116+8|
1.E7AAA1|116+8|
1.E7AAA2|116+8|
1.E7AAA3|116+8|
1.E7AAA4|116+8|
1.E7AAA5|116+8|
1.E7AAA6|116+8|
1.E7AAA7|116+8|
1.E7AAA8|116+9|
1.E7AAA9|116+9|
1.E7AAAA|116+9|
1.E7AAAB|116+9|
1.E7AAAC|116+9|
1.E7AAAD|116+9|
1.E7AAAE|116+10|
1.E7AAAF|116+10|
1.E7AAB0|116+10|
1.E7AAB1|116+10|
1.E7AAB2|116+10|
1.E7AAB3|116+10|
1.E7AAB4|116+10|
1.E7AAB5|116+11|
1.E7AAB6|116+11|
1.E7AAB7|116+11|
1.E7AAB8|116+11|
1.E7AAB9|116+11|
1.E7AABA|116+11|
1.E7AABB|116+11|
1.E7AABC|116+11|
1.E7AABD|116+11|
1.E7AABE|116+12|
