KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
koukai, 航海, sail, voyage, , |koukai|航海|sail, voyage|Noun|Activity|||||||
gaiaku, 害悪, harm, injury, evil (influence), , |gaiaku|害悪|harm, injury, evil (influence)|Noun|Activity|||||||
touhyou, 投票, voting, poll, , |touhyou|投票|voting, poll|Noun|Activity|||||||
taihyou, 開票, counting of ballots, tally of votes, , |taihyou|開票|counting of ballots, tally of votes|Noun|Activity|||||||
tawake, 戯け, tomfoolery, foolish act, nonsense, , |tawake|戯け|tomfoolery, foolish act, nonsense|Noun|Activity|||||||
kyouryoku, 協力, cooperation, collaboration, , |kyouryoku|協力|cooperation, collaboration|Noun|Activity|||||||
tanoshimi, 楽しみ, enjoyment, pleasure, diversion, amusement, hobby, anticipation, looking forward to, 愉しみ, |tanoshimi|楽しみ|enjoyment, pleasure, diversion, amusement, hobby, anticipation, looking forward to|Noun|Activity||||||愉しみ|
taiji, 退治, extermination, elimination, eradication, suppression, , |taiji|退治|extermination, elimination, eradication, suppression|Noun|Activity|||||||
taiji, 対峙, confrontation, , |taiji|対峙|confrontation|Noun|Activity|||||||
koukai, 公開, exhibit, , |koukai|公開|exhibit|Noun|Activity|||||||
kaifuku, 回復, restoration, rehabilitation, recovery, return, improvement, 恢復, |kaifuku|回復|restoration, rehabilitation, recovery, return, improvement|Noun|Activity||||||恢復|
kaifuku, 快復, recovery (from an illness), recuperation, convalescence, , |kaifuku|快復|recovery (from an illness), recuperation, convalescence|Noun|Activity|||||||
urouro, ウロウロ, loitering, aimless wandering, undecidedness, , |urouro|ウロウロ|loitering, aimless wandering, undecidedness|Noun|Activity|Used colloquially.||||||
zenshin, 前進, advance, drive, progress, , |zenshin|前進|advance, drive, progress|Noun|Activity|||||||
tenkin, 転勤, job transfer, to relocation, intra-company transfer, , |tenkin|転勤|job transfer, to relocation, intra-company transfer|Noun|Activity|||||||
koushou, 考証, (historical) investigation, , |koushou|考証|(historical) investigation|Noun|Activity|||||||
nyuujou, 入場, entrance, admission, entering, , |nyuujou|入場|entrance, admission, entering|Noun|Activity|||||||
sonzai, 存在, existence, being, , |sonzai|存在|existence, being|Noun|Activity|||||||
okizari, 置き去り, desertion, 置きざり, |okizari|置き去り|desertion|Noun|Activity||||||置きざり|
umare kawari, 生まれ変わり, rebirth, reincarnation, , |umare kawari|生まれ変わり|rebirth, reincarnation|Noun|Activity|||||||
gentei, 限定, limit, restriction, , |gentei|限定|limit, restriction|Noun|Activity|||||||
kyousou, 競争, competition, contest, , |kyousou|競争|competition, contest|Noun|Activity|||||||
yousha, 容赦, pardon, forgiveness, mercy, leniency, going easy on someone, , |yousha|容赦|pardon, forgiveness, mercy, leniency, going easy on someone|Noun|Activity|||||||
tameiki, ため息, sigh, 溜め息, |tameiki|ため息|sigh|Noun|Activity||||||溜め息|
shikyuu, 支給, provision, supply, payment, allowance, grant, , |shikyuu|支給|provision, supply, payment, allowance, grant|Noun|Activity|||||||
riichi, リーチ, reach, , |riichi|リーチ|reach|Noun|Activity|||||||
tokkun, 特訓, special training, intensive training, crash course, totsukun, |tokkun|特訓|special training, intensive training, crash course|Noun|Activity||||||totsukun|
kenbutsu, 見物, sightseeing, sightseer, watching, watcher, , |kenbutsu|見物|sightseeing, sightseer, watching, watcher|Noun|Activity|||||||
shouka, 消化, digestion, thorough understanding, , |shouka|消化|digestion, thorough understanding|Noun|Activity|||||||
shouka, 消火, fire fighting, extinguishing a fire, , |shouka|消火|fire fighting, extinguishing a fire|Noun|Activity|||||||
koufun, 興奮, 昂奮, 亢奮, excitement, stimulation, agitation, arousal, , |koufun|興奮, 昂奮, 亢奮|excitement, stimulation, agitation, arousal|Noun|Activity|||||||
shutsugen, 出現, appearance, arrival, , |shutsugen|出現|appearance, arrival|Noun|Activity|||||||
shuukai, 集会, meeting, assembly, gathering, congregation, convention, rally, , |shuukai|集会|meeting, assembly, gathering, congregation, convention, rally|Noun|Activity|||||||
miitingu, ミーティング, meeting, , |miitingu|ミーティング|meeting|Noun|Activity|||||||
shinpo, 進歩, progress, advancement, improvement, development, , |shinpo|進歩|progress, advancement, improvement, development|Noun|Activity|||||||
seikai, 盛会, successful meeting, , |seikai|盛会|successful meeting|Noun|Activity|||||||
shoubai, 商売, trade, business, commerce, transation, occupation, , |shoubai|商売|trade, business, commerce, transation, occupation|Noun|Activity|||||||
kinkou, 均衡, equilibrium, balance, , |kinkou|均衡|equilibrium, balance|Noun|Activity|||||||
machigai, 間違い, mistake, error, blunder, accident, mishap, trouble, improper conduct (e.g. between man and woman), indiscretion, , |machigai|間違い|mistake, error, blunder, accident, mishap, trouble, improper conduct (e.g. between man and woman), indiscretion|Noun|Activity|||||||
migoto, 見事, praiseworthy act, feat, commendable deed, , |migoto|見事|praiseworthy act, feat, commendable deed|Noun|Activity|||||||
deai, 出会い, meeting, rendezvous, encounter, , |deai|出会い|meeting, rendezvous, encounter|Noun|Activity|||||||
kikaku, 企画, planning, project, plan, design, 企劃, |kikaku|企画|planning, project, plan, design|Noun|Activity||||||企劃|
fukushuu, 復習, review, revision, , |fukushuu|復習|review, revision|Noun|Activity|||||||
arubaito, アルバイト, part-time job, side job, , |arubaito|アルバイト|part-time job, side job|Noun|Activity|||||||
oose, 仰せ, statement, command, wishes (of a superior), , |oose|仰せ|statement, command, wishes (of a superior)|Noun|Activity|||||||
yohou, 予報, forecast, prediction, , |yohou|予報|forecast, prediction|Noun|Activity|||||||
unten, 運転, operation, motion, driving, , |unten|運転|operation, motion, driving|Noun|Activity|||||||
shuppatsu, 出発, departure, , |shuppatsu|出発|departure|Noun|Activity|||||||
toori, 透り, penetration (e.g. of light), , |toori|透り|penetration (e.g. of light)|Noun|Activity|||||||
kenkyuu, 研究, study, research, investigation, , |kenkyuu|研究|study, research, investigation|Noun|Activity|||||||
shouchi, 承知, acknowledgment, acknowledgement, awareness, consent, acceptance, assent, admitting, compliance, agreement, , |shouchi|承知|acknowledgment, acknowledgement, awareness, consent, acceptance, assent, admitting, compliance, agreement|Noun|Activity|||||||
happyou, 発表, announcement, publication, , |happyou|発表|announcement, publication|Noun|Activity|||||||
shouhi, 消費, consumption, expenditure, , |shouhi|消費|consumption, expenditure|Noun|Activity|||||||
kitaku, 帰宅, returning home, , |kitaku|帰宅|returning home|Noun|Activity|||||||
ouen, 応援, aid, assistance, help, reinforcement, rooting, baracking, support, cheering, , |ouen|応援|aid, assistance, help, reinforcement, rooting, baracking, support, cheering|Noun|Activity|||||||
arai, 洗い, washing, , |arai|洗い|washing|Noun|Activity|||||||
araimono, 洗い物, washing, , |araimono|洗い物|washing|Noun|Activity|||||||
junbi, 準備, preparation, setup, arrangements, provisions, reserve, , |junbi|準備|preparation, setup, arrangements, provisions, reserve|Noun|Activity|||||||
boueki, 貿易, (foreign) trade, , |boueki|貿易|(foreign) trade|Noun|Activity|||||||
kyanseru, キャンセル, cancellation, , |kyanseru|キャンセル|cancellation|Noun|Activity|||1289||||
shuuchuu, 集中, concentration, convergence, centralization, integration, gathering together, , |shuuchuu|集中|concentration, convergence, centralization, integration, gathering together|Noun|Activity|||||||
zengo, 前後, inversion, reversion, getting out of order, co-occuring, , |zengo|前後|inversion, reversion, getting out of order, co-occuring|Noun|Activity|||||||
shoubu, 勝負, victory, defeat, match, contest, game, bout, , |shoubu|勝負|victory, defeat, match, contest, game, bout|Noun|Activity|||||||
kanjou, 勘定, calculation, counting, consideration, reckoning, allowance, settlement, , |kanjou|勘定|calculation, counting, consideration, reckoning, allowance, settlement|Noun|Activity|||||||
nenju, 念誦, invocation, , |nenju|念誦|invocation|Noun|Activity|||||||
kioku, 記憶, memory, recollection, remembrance, , |kioku|記憶|memory, recollection, remembrance|Noun|Activity|||||||
chikan, 置換, substitution, replacement, permutation, , |chikan|置換|substitution, replacement, permutation|Noun|Activity|||||||
setsubi, 設備, equipment, device, facilities, installation, , |setsubi|設備|equipment, device, facilities, installation|Noun|Activity|||||||
chuushi, 中止, suspension, stoppage, discontinuance, interruption, cancelation, , |chuushi|中止|suspension, stoppage, discontinuance, interruption, cancelation|Noun|Activity|||||||
seisai, 制裁, restraint, sanctions, punishment, , |seisai|制裁|restraint, sanctions, punishment|Noun|Activity|||||||
sotsugyou, 卒業, graduation, completion (of a course), outgrowing something, moving on, , |sotsugyou|卒業|graduation, completion (of a course), outgrowing something, moving on|Noun|Activity|||||||
chikoku, 遅刻, lateness, late coming, , |chikoku|遅刻|lateness, late coming|Noun|Activity|||||||
jorei, 除霊, exorcism, , |jorei|除霊|exorcism|Noun|Activity|||||||
shizume, 鎮め, controlling, suppressing, quelling, , |shizume|鎮め|controlling, suppressing, quelling|Noun|Activity|||||||
inori, 祈り, prayer, supplication, , |inori|祈り|prayer, supplication|Noun|Activity|||||||
kyoufu, 恐怖, fear, dread, dismay, terror, horror, scare, , |kyoufu|恐怖|fear, dread, dismay, terror, horror, scare|Noun|Activity|||||||
ugoki, 動き, movement, activity, trend, development, change, , |ugoki|動き|movement, activity, trend, development, change|Noun|Activity|||||||
kawari, 変わり, change, alteration, abnormality, acident, difference, distinction, , |kawari|変わり|change, alteration, abnormality, acident, difference, distinction|Noun|Activity|||||||
jikaku, 自覚, self-consciousness, self-awareness, , |jikaku|自覚|self-consciousness, self-awareness|Noun|Activity|||||||
saikou, 再考, reconsideration, , |saikou|再考|reconsideration|Noun|Activity|||||||
wakare, 別れ, parting, separation, farewell, (lateral) branch, fork, offshoot, division, section, , |wakare|別れ|parting, separation, farewell, (lateral) branch, fork, offshoot, division, section|Noun|Activity|||||||
shisha, 試写, preview, private showing, , |shisha|試写|preview, private showing|Noun|Activity|||||||
shisha, 試射, test firing, , |shisha|試射|test firing|Noun|Activity|||||||
dameeji, ダメージ, damage, , |dameeji|ダメージ|damage|Noun|Activity|||||||
kaiwa, 会話, conversation, , |kaiwa|会話|conversation|Noun|Activity|||||||
shitaku, 支度, preparation, arrangements, , |shitaku|支度|preparation, arrangements|Noun|Activity|||||||
yoshuu, 予習, preparation for a lesson, , |yoshuu|予習|preparation for a lesson|Noun|Activity|||||||
asobi, 遊び, playing, play, , |asobi|遊び|playing, play|Noun|Activity|||||||
toppa, 突破, breakthough, penetration, totsupa, |toppa|突破|breakthough, penetration|Noun|Activity||||||totsupa|
seisei, 精製, purification, , |seisei|精製|purification|Noun|Activity|||||||
keiyaku, 契約, contract, compact, agreement, , |keiyaku|契約|contract, compact, agreement|Noun|Activity|||||||
kyouiku, 教育, training, education, , |kyouiku|教育|training, education|Noun|Activity|||||||
henji, 返事, reply, answer, response, , |henji|返事|reply, answer, response|Noun|Activity|||||||
danran, 団欒, happy circle, harmony, , |danran|団欒|happy circle, harmony|Noun|Activity|||||||
seisei, 生成, creation, generation, formation, derivation, , |seisei|生成|creation, generation, formation, derivation|Noun|Activity|||||||
housou, 放送, broadcast, broadcasting, , |housou|放送|broadcast, broadcasting|Noun|Activity|||||||
goran, 御覧, seeing, looking, watching, ご覧, |goran|御覧|seeing, looking, watching|Noun|Activity||||||ご覧|
boushi, 防止, prevention, check, , |boushi|防止|prevention, check|Noun|Activity|||||||
bikkuri, 吃驚, surprise, 喫驚, |bikkuri|吃驚|surprise|Noun|Activity||||||喫驚|
shougyou, 商業, commerce, trade, business, , |shougyou|商業|commerce, trade, business|Noun|Activity|||||||
yurayura, 揺ら揺ら, slow swaying, rolling from side to side, swinging, wobbling, shake, swing, waver, roll, rock, tremble, vibration, flicker, , |yurayura|揺ら揺ら|slow swaying, rolling from side to side, swinging, wobbling, shake, swing, waver, roll, rock, tremble, vibration, flicker|Noun|Activity|||||||
hyougen, 表現, expression, , |hyougen|表現|expression|Noun|Activity|||||||
yuragi, 揺らぎ, tremor, fluctuation, , |yuragi|揺らぎ|tremor, fluctuation|Noun|Activity|||||||
gomen, 御免, pardon, dismissal, declination, permission, , |gomen|御免|pardon, dismissal, declination, permission|Noun|Activity|||||||
sewa, 世話, help, aid, assistance, , |sewa|世話|help, aid, assistance|Noun|Activity|||||||
mabataki, matataki, 瞬き, blink, wink, twinkle, flicker, , |mabataki, matataki|瞬き|blink, wink, twinkle, flicker|Noun|Activity|||||||
batabata, バタバタ, flapping sound, rattling sound, clattering noise, commotion, kerfuffle, , |batabata|バタバタ|flapping sound, rattling sound, clattering noise, commotion, kerfuffle|Noun|Activity|||||||
kunren, 訓練, practice, practise, training, , |kunren|訓練|practice, practise, training|Noun|Activity|||||||
keri, 蹴り, kick, , |keri|蹴り|kick|Noun|Activity|||||||
toi, 問い, question, query, , |toi|問い|question, query|Noun|Activity|||||||
koushou, 交渉, negociations, discussions, connection, contact, , |koushou|交渉|negociations, discussions, connection, contact|Noun|Activity|||||||
kaigai shucchou, 海外出張, overseas business trip, , |kaigai shucchou|海外出張|overseas business trip|Noun|Activity|||||||
dokusho, 読書, reading, , |dokusho|読書|reading|Noun|Activity|||||||
kidou, 機動, maneuver, manoeuvre, , |kidou|機動|maneuver, manoeuvre|Noun|Activity|||||||
zetsubou, 絶望, despair, hopelessness, , |zetsubou|絶望|despair, hopelessness|Noun|Activity|||||||
keiko, 恵子, practice, , |keiko|恵子|practice|Noun|Activity|||||||
yabou, 野望, ambition, aspiration, designs, treachery, , |yabou|野望|ambition, aspiration, designs, treachery|Noun|Activity|||||||
tokushin, 特進, special promotion (in rank or grade), , |tokushin|特進|special promotion (in rank or grade)|Noun|Activity|||||||
shinbou, 辛抱, patience, endurance, , |shinbou|辛抱|patience, endurance|Noun|Activity|||||||
kari, 借り, borrowing, debt, loan, , |kari|借り|borrowing, debt, loan|Noun|Activity|||||||
kankaku, 感覚, sense, sensation, feeling, intuition, , |kankaku|感覚|sense, sensation, feeling, intuition|Noun|Activity|||||||
kurakura, くらくら, dizziness, giddiness, , |kurakura|くらくら|dizziness, giddiness|Noun|Activity|||||||
sogai, 阻害, obstruction, inhibition, , |sogai|阻害|obstruction, inhibition|Noun|Activity|||||||
kangai, 灌漑, irrigation, , |kangai|灌漑|irrigation|Noun|Activity|||||||
kougeki, 攻撃, attack, srike, offensive, criticism, censure, denunciation, condemnation, , |kougeki|攻撃|attack, srike, offensive, criticism, censure, denunciation, condemnation|Noun|Activity|||||||
sogai, 疎外, estrangement, neglect, alienation, casting out, , |sogai|疎外|estrangement, neglect, alienation, casting out|Noun|Activity|||||||
sukui, 救い, help, aid, relief, salvation, grace, providence, , |sukui|救い|help, aid, relief, salvation, grace, providence|Noun|Activity|||||||
etsuran, 閲覧, inspection, reading, , |etsuran|閲覧|inspection, reading|Noun|Activity|||||||
sain, サイン, signature, , |sain|サイン|signature|Noun|Activity|||||||
shaberi, 喋り, talk, chat, , |shaberi|喋り|talk, chat|Noun|Activity|||||||
benkyou, 勉強, studies, diligence, discout, reduction, , |benkyou|勉強|studies, diligence, discout, reduction|Noun|Activity|||||||
shouka, 昇華, sublimation, , |shouka|昇華|sublimation|Noun|Activity|||||||
shokugyou, 職業, occupaton, business, , |shokugyou|職業|occupaton, business|Noun|Activity|||||||
soudan, 相談, consultation, discussion, , |soudan|相談|consultation, discussion|Noun|Activity|||||||
mekkyaku, 滅却, extinguishment, destruction, effacement, , |mekkyaku|滅却|extinguishment, destruction, effacement|Noun|Activity|||||||
kekkai, 決壊, breakdown, collapse, rupture, , |kekkai|決壊|breakdown, collapse, rupture|Noun|Activity|||||||
joukyou, 上京, procession to the capital (Tokyo), , |joukyou|上京|procession to the capital (Tokyo)|Noun|Activity|||||||
mensetsu, 面接, interview, , |mensetsu|面接|interview|Noun|Activity|||1384||||
senkou, 選考, selection, screening, 銓衡, |senkou|選考|selection, screening|Noun|Activity||||||銓衡|
odoshi, 脅し, threat, , |odoshi|脅し|threat|Noun|Activity|||||||
kaigi, 会議, conference, meeting, , |kaigi|会議|conference, meeting|Noun|Activity|||90, 1292||||
senkou, 先行, preceeding, going first, leading, going ahead, taking priority, 銓衡, |senkou|先行|preceeding, going first, leading, going ahead, taking priority|Noun|Activity||||||銓衡|
ryouri, 料理, cuisine, cooking, , |ryouri|料理|cuisine, cooking|Noun|Activity|||94, 1264, 1410||||
kubikiri, 首切り, decapitation, beheading, firings, dismissals, layoffs, downsizing, 首斬り, |kubikiri|首切り|decapitation, beheading, firings, dismissals, layoffs, downsizing|Noun|Activity||||||首斬り|
kui, 食い, eating, bite (fishing), , |kui|食い|eating, bite (fishing)|Noun|Activity|||||||
kenka, 喧嘩, quarrel, brawl, fight, squabble, scuffle, , |kenka|喧嘩|quarrel, brawl, fight, squabble, scuffle|Noun|Activity|||||||
kekkon, 結婚, marriage, , |kekkon|結婚|marriage|Noun|Activity|||1297||||
shigoto, 仕事, work, , |shigoto|仕事|work|Noun|Activity|||91, 1297||||
kai, 快, pleasure, delight, enjoyment, , |kai|快|pleasure, delight, enjoyment|Noun|Activity|||||||
inyou, 引用, quotation, citation, reference, , |inyou|引用|quotation, citation, reference|Noun|Activity|||||||
shinryou, 診療, medical examination and treatment, diagnosis, , |shinryou|診療|medical examination and treatment, diagnosis|Noun|Activity|||||||
yoyaku, 予約, reservation, booking, , |yoyaku|予約|reservation, booking|Noun|Activity|||103||||
eigyou, 営業, business, trade, , |eigyou|営業|business, trade|Noun|Activity|||||||
jikkou, 実行, practice, practise, performance, execution (e.g. program), realization, realisation, implementation, , |jikkou|実行|practice, practise, performance, execution (e.g. program), realization, realisation, implementation|Noun|Activity|||||||
tameshi, 試し, trial, test, , |tameshi|試し|trial, test|Noun|Activity|||||||
jikken, 実験, experiment, , |jikken|実験|experiment|Noun|Activity|||||||
sanka, 参加, participation, involvement, , |sanka|参加|participation, involvement|Noun|Activity|||||||
shidou, 指導, leadership, guidance, coaching, , |shidou|指導|leadership, guidance, coaching|Noun|Activity|||||||
shujutsu, 手術, surgery, operation, surgical procedure, , |shujutsu|手術|surgery, operation, surgical procedure|Noun|Activity|||||||
hojo, 補助, assistance, support, aid, help, subsidy, supplement, subvention, grant-in-aid, auxiliary, subsidiary, , |hojo|補助|assistance, support, aid, help, subsidy, supplement, subvention, grant-in-aid, auxiliary, subsidiary|Noun|Activity|||||||
konran, 混乱, disorder, chaos, confusion, mayhem, , |konran|混乱|disorder, chaos, confusion, mayhem|Noun|Activity|||||||
kyuusoku, 休息, rest, relief, relaxation, 休足, |kyuusoku|休息|rest, relief, relaxation|Noun|Activity||||||休足|
rokuon, 録音, (audio) recording, , |rokuon|録音|(audio) recording|Noun|Activity|||||||
rokuga, 録画, (video) recording, , |rokuga|録画|(video) recording|Noun|Activity|||||||
kanben, 勘弁, pardon, forgiveness, forbearance, , |kanben|勘弁|pardon, forgiveness, forbearance|Noun|Activity|||||||
kubetsu, 区別, distinction, differentiation, classification, , |kubetsu|区別|distinction, differentiation, classification|Noun|Activity|||||||
kettei, 決定, decision, determination, , |kettei|決定|decision, determination|Noun|Activity|||||||
ryoukai, 了解, comprehension, consent, understanding, roger, , |ryoukai|了解|comprehension, consent, understanding, roger|Noun|Activity|||||||
dangen, 断言, assertion, declaration, affirmation, , |dangen|断言|assertion, declaration, affirmation|Noun|Activity|||||||
kyouchou, 強調, emphasis, highlight, stressed point, , |kyouchou|強調|emphasis, highlight, stressed point|Noun|Activity|||||||
byousha, 描写, depiction, description, portrayal, , |byousha|描写|depiction, description, portrayal|Noun|Activity|||||||
handan, 判断, judgement, judgment, decision, adjudication, conclusion, decipherment, divination, , |handan|判断|judgement, judgment, decision, adjudication, conclusion, decipherment, divination|Noun|Activity|||||||
koroshi, 殺し, murder, killing, murderer, , |koroshi|殺し|murder, killing, murderer|Noun|Activity|||||||
tsuuyaku, 通訳, interpretation, , |tsuuyaku|通訳|interpretation|Noun|Activity|||||||
norikae, 乗り換え, transfer (e.g. trains), , |norikae|乗り換え|transfer (e.g. trains)|Noun|Activity|||108||||
tenji, 展示, exhibition, display, , |tenji|展示|exhibition, display|Noun|Activity|||||||
chuusha, 注射, injection, , |chuusha|注射|injection|Noun|Activity|||||||
danbou, 暖房, heating, , |danbou|暖房|heating|Noun|Activity|||||||
tenrankai, 展覧会, exhibition, , |tenrankai|展覧会|exhibition|Noun|Activity|||||||
hatsu, 発, departure, , |hatsu|発|departure|Noun|Activity|||||||
shirei, 指令, orders, instructions, directive, commands, , |shirei|指令|orders, instructions, directive, commands|Noun|Activity|||||||
tehai, 手配, arrangement, preparations, search (by police), , |tehai|手配|arrangement, preparations, search (by police)|Noun|Activity|||||||
shirei, 司令, comman, control, commander, , |shirei|司令|comman, control, commander|Noun|Activity|||||||
kigan, 祈願, prayer, supplication, , |kigan|祈願|prayer, supplication|Noun|Activity|||||||
gakushuu, 学習, study, learning, tutorial, , |gakushuu|学習|study, learning, tutorial|Noun|Activity|||||||
zenin, 是認, approval, , |zenin|是認|approval|Noun|Activity|||||||
gakumon, 学問, scholarship, study, learning, , |gakumon|学問|scholarship, study, learning|Noun|Activity|||||||
aisatsu, 挨拶, greetings, salutations, salute, speech, address (to a crowd), reply, response, , |aisatsu|挨拶|greetings, salutations, salute, speech, address (to a crowd), reply, response|Noun|Activity|||118||||
ojigi, お辞儀, bow, bowing, , |ojigi|お辞儀|bow, bowing|Noun|Activity|||118||||
hakushu, 拍手, applause, clapping hands, , |hakushu|拍手|applause, clapping hands|Noun|Activity|||||||
bougi, 謀議, plot, conspiracy, conference, , |bougi|謀議|plot, conspiracy, conference|Noun|Activity|||||||
suiei, 水泳, swimming, , |suiei|水泳|swimming|Noun|Activity|||||||
teire, 手入れ, repairs, maintenance, tending, trimming, grooming, crackdown, police raid, , |teire|手入れ|repairs, maintenance, tending, trimming, grooming, crackdown, police raid|Noun|Activity|||||||
negai, 願い, desire, request, wish, , |negai|願い|desire, request, wish|Noun|Activity|||||||
shoumetsu, 消滅, lapse, annihilation, extinguishment, termination, vanishing, , |shoumetsu|消滅|lapse, annihilation, extinguishment, termination, vanishing|Noun|Activity|||||||
osonae, お供え, offering, 御供え, |osonae|お供え|offering|Noun|Activity||||||御供え|
dousa, 動作, action, movements, motions, bearing, behaviour, behavior, execution, actuation, operation, manners, , |dousa|動作|action, movements, motions, bearing, behaviour, behavior, execution, actuation, operation, manners|Noun|Activity|||||||
ookami, 狼, wolf, , |ookami|狼|wolf|Noun|Fauna|||||||
doubutsu, 動物, animal, , |doubutsu|動物|animal|Noun|Fauna|||176, 1296||||
inu, 犬, dog, , |inu|犬|dog|Noun|Fauna|||1306||||
neko, 猫, cat, , |neko|猫|cat|Noun|Fauna|||||||
tori, 鳥, bird, , |tori|鳥|bird|Noun|Fauna|||177, 1333||||
kuma, 熊, bear, , |kuma|熊|bear|Noun|Fauna|||||||
kitsune, 狐, キツネ, fox, , |kitsune|狐, キツネ|fox|Noun|Fauna|||||||
usagi, 兎, 兔, rabbit, hare, , |usagi|兎, 兔|rabbit, hare|Noun|Fauna|||||||
ikimono, 生き物, living thing, animal, , |ikimono|生き物|living thing, animal|Noun|Fauna|||||||
seibutsu, 生物, living things, creature, , |seibutsu|生物|living things, creature|Noun|Fauna|||||||
kemono, 獣, beast, brute, , |kemono|獣|beast, brute|Noun|Fauna|||||||
kame, 亀, turtle, tortoise, , |kame|亀|turtle, tortoise|Noun|Fauna|||||||
hachi, 蜂, bee, wasp, , |hachi|蜂|bee, wasp|Noun|Fauna|||||||
juurui, 獣類, beasts, mammals, , |juurui|獣類|beasts, mammals|Noun|Fauna|||||||
koneko, 子猫, kitten, , |koneko|子猫|kitten|Noun|Fauna|||||||
hebi, 蛇, snake, serpent, , |hebi|蛇|snake, serpent|Noun|Fauna|||||||
katatsumuri, 蝸牛, snail, , |katatsumuri|蝸牛|snail|Noun|Fauna|||||||
tsuru, 鶴, crane, , |tsuru|鶴|crane|Noun|Fauna|||||||
kiji, 雉, green pheasant, Japanese pheasant, , |kiji|雉|green pheasant, Japanese pheasant|Noun|Fauna|||||||
kumo, 蜘蛛, spider, , |kumo|蜘蛛|spider|Noun|Fauna|||||||
yagi, 山羊, goat, , |yagi|山羊|goat|Noun|Fauna|||||||
kirin, jirafu, キリン, ジラフ, giraffe, japanese mythological chimera, , |kirin, jirafu|キリン, ジラフ|giraffe, japanese mythological chimera|Noun|Fauna|||1364||||
obake, お化け, オバケ, goblin, apparition, monster, ghost, , |obake|お化け, オバケ|goblin, apparition, monster, ghost|Noun|Fauna|||||||
kani, 蟹, crab, , |kani|蟹|crab|Noun|Fauna|||||||
honyuu, 哺乳, mammal, , |honyuu|哺乳|mammal|Noun|Fauna|||||||
honyuudoubutsu, 哺乳動物, mammal, , |honyuudoubutsu|哺乳動物|mammal|Noun|Fauna|||||||
riichi, リーチ, leech, , |riichi|リーチ|leech|Noun|Fauna|||||||
oumu, 鸚鵡, large parrot, , |oumu|鸚鵡|large parrot|Noun|Fauna|||||||
gragon, 竜, ryuu, , |gragon|竜|ryuu|Noun|Fauna|||||||
inko, 鸚哥, small parrot, parakeet, lory, conure, , |inko|鸚哥|small parrot, parakeet, lory, conure|Noun|Fauna|||||||
ushi, 牛, cattle, ow, ox, oxen, , |ushi|牛|cattle, ow, ox, oxen|Noun|Fauna|||||||
buta, 豚, 豕, pig, , |buta|豚, 豕|pig|Noun|Fauna|||||||
hitsuji, 羊, sheep, , |hitsuji|羊|sheep|Noun|Fauna|||||||
tora, 虎, tiger, , |tora|虎|tiger|Noun|Fauna|||||||
shishi, 獅子, 師子, lion, , |shishi|獅子, 師子|lion|Noun|Fauna|||||||
uma, 馬, horse, , |uma|馬|horse|Noun|Fauna|||||||
karasu, 烏, crow, , |karasu|烏|crow|Noun|Fauna|||||||
suzume, 雀, sparrow, , |suzume|雀|sparrow|Noun|Fauna|||||||
kotori, 小鳥, small bird, songbird, birdie, dickeybird, dickybird, , |kotori|小鳥|small bird, songbird, birdie, dickeybird, dickybird|Noun|Fauna|||||||
chou, 蝶, butterfly, , |chou|蝶|butterfly|Noun|Fauna|||||||
mushi, 虫, critter, insect, bug, cricket, moth, worm, , |mushi|虫|critter, insect, bug, cricket, moth, worm|Noun|Fauna|||||||
shishi, 猪, beast, , |shishi|猪|beast|Noun|Fauna|||||||
gokiburi, ゴキブリ, cockroach, , |gokiburi|ゴキブリ|cockroach|Noun|Fauna|||||||
kaibutsu, 怪物, monster, , |kaibutsu|怪物|monster|Noun|Fauna|||||||
shimauma, 縞馬, zebra, , |shimauma|縞馬|zebra|Noun|Fauna|||||||
kappa, 河童, kappa, katsupa, |kappa|河童|kappa|Noun|Fauna|Mythical sea-dwelling creature.|||||katsupa|
mukade, 百足, centipede, , |mukade|百足|centipede|Noun|Fauna|||||||
chikushou, 畜生, beast, animal, brute, , |chikushou|畜生|beast, animal, brute|Noun|Fauna|||||||
fukurou, 梟, フクロウ, owl, , |fukurou|梟, フクロウ|owl|Noun|Fauna|||||||
kai, 貝, shell, shellfish, , |kai|貝|shell, shellfish|Noun|Fauna|||||||
zou, 象, elephant, , |zou|象|elephant|Noun|Fauna|||1296||||
panda, パンダ, panda, , |panda|パンダ|panda|Noun|Fauna|||1296||||
mune, 胸, chest, breast, bosom, bust, , |mune|胸|chest, breast, bosom, bust|Noun|Anatomy|||||||
te, 手, hand, , |te|手|hand|Noun|Anatomy|||178||||
kuchi, guchi, 口, mouth, gate, opening, , |kuchi, guchi|口|mouth, gate, opening|Noun|Anatomy|||179||||
me, 目, eye, , |me|目|eye|Noun|Anatomy|||180||||
kao, 顔, face, , |kao|顔|face|Noun|Anatomy|||181, 1322||||
ha, 歯, tooth, teeth, , |ha|歯|tooth, teeth|Noun|Anatomy|||182, 1324||||
kami, 髪, hair, 髮, |kami|髪|hair|Noun|Anatomy||||||髮|
onaka, お腹, stomach, , |onaka|お腹|stomach|Noun|Anatomy|||183, 1267||||
i, 胃, stomach, , |i|胃|stomach|Noun|Anatomy|Scientific term.||||||
