Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
iku special class||I|||うまくやって行く|umakuyatteiku|うまくやって行|umakuyattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||生きていく|ikiteiku|生きてい|ikitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||やって行く|yatteiku|やって行|yattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||戻って行く|modotteiku|戻って行|modottei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||いい線行く|iiseniku|いい線行|iiseni|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||しっくり行く|shikkuriiku|しっくり行|shikkurii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||出て行く|deteiku|出て行|detei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||はって行く|hatteiku|はって行|hattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||去り行く|sariiku|去り行|sarii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||良い線行く|yoiseniku|良い線行|yoiseni|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
